variant_id,type,platform,aspect,source,length_s,hook_id,hook,cta_id,cta,lock_version,status
fernly-reviews-15s_tiktok_H1C1,video,tiktok,9:16,master,15,H1,My human is trying to drown me.,C1,Get Fernly free,1.0,draft
fernly-reviews-15s_tiktok_H1C2,video,tiktok,9:16,master,15,H1,My human is trying to drown me.,C2,Save your plants,1.0,draft
fernly-reviews-15s_tiktok_H2C1,video,tiktok,9:16,master,15,H2,One star. Would not live here again.,C1,Get Fernly free,1.0,draft
fernly-reviews-15s_tiktok_H2C2,video,tiktok,9:16,master,15,H2,One star. Would not live here again.,C2,Save your plants,1.0,draft
fernly-reviews-15s_tiktok_H3C1,video,tiktok,9:16,master,15,H3,Day 3 of being overwatered.,C1,Get Fernly free,1.0,draft
fernly-reviews-15s_tiktok_H3C2,video,tiktok,9:16,master,15,H3,Day 3 of being overwatered.,C2,Save your plants,1.0,draft
fernly-reviews-15s_meta_vertical_H1C1,video,meta_vertical,9:16,master,15,H1,My human is trying to drown me.,C1,Get Fernly free,1.0,draft
fernly-reviews-15s_meta_vertical_H1C2,video,meta_vertical,9:16,master,15,H1,My human is trying to drown me.,C2,Save your plants,1.0,draft
fernly-reviews-15s_meta_vertical_H2C1,video,meta_vertical,9:16,master,15,H2,One star. Would not live here again.,C1,Get Fernly free,1.0,draft
fernly-reviews-15s_meta_vertical_H2C2,video,meta_vertical,9:16,master,15,H2,One star. Would not live here again.,C2,Save your plants,1.0,draft
fernly-reviews-15s_meta_vertical_H3C1,video,meta_vertical,9:16,master,15,H3,Day 3 of being overwatered.,C1,Get Fernly free,1.0,draft
fernly-reviews-15s_meta_vertical_H3C2,video,meta_vertical,9:16,master,15,H3,Day 3 of being overwatered.,C2,Save your plants,1.0,draft
fernly-reviews-15s_youtube_shorts_H1C1,video,youtube_shorts,9:16,master,15,H1,My human is trying to drown me.,C1,Get Fernly free,1.0,draft
fernly-reviews-15s_youtube_shorts_H1C2,video,youtube_shorts,9:16,master,15,H1,My human is trying to drown me.,C2,Save your plants,1.0,draft
fernly-reviews-15s_youtube_shorts_H2C1,video,youtube_shorts,9:16,master,15,H2,One star. Would not live here again.,C1,Get Fernly free,1.0,draft
fernly-reviews-15s_youtube_shorts_H2C2,video,youtube_shorts,9:16,master,15,H2,One star. Would not live here again.,C2,Save your plants,1.0,draft
fernly-reviews-15s_youtube_shorts_H3C1,video,youtube_shorts,9:16,master,15,H3,Day 3 of being overwatered.,C1,Get Fernly free,1.0,draft
fernly-reviews-15s_youtube_shorts_H3C2,video,youtube_shorts,9:16,master,15,H3,Day 3 of being overwatered.,C2,Save your plants,1.0,draft
fernly-reviews-15s_meta_feed_H1C1,video,meta_feed,4:5,reframe from 9:16,15,H1,My human is trying to drown me.,C1,Get Fernly free,1.0,draft
fernly-reviews-15s_meta_feed_H1C2,video,meta_feed,4:5,reframe from 9:16,15,H1,My human is trying to drown me.,C2,Save your plants,1.0,draft
fernly-reviews-15s_meta_feed_H2C1,video,meta_feed,4:5,reframe from 9:16,15,H2,One star. Would not live here again.,C1,Get Fernly free,1.0,draft
fernly-reviews-15s_meta_feed_H2C2,video,meta_feed,4:5,reframe from 9:16,15,H2,One star. Would not live here again.,C2,Save your plants,1.0,draft
fernly-reviews-15s_meta_feed_H3C1,video,meta_feed,4:5,reframe from 9:16,15,H3,Day 3 of being overwatered.,C1,Get Fernly free,1.0,draft
fernly-reviews-15s_meta_feed_H3C2,video,meta_feed,4:5,reframe from 9:16,15,H3,Day 3 of being overwatered.,C2,Save your plants,1.0,draft
fernly-reviews-15s_A1_meta_feed_4x5,static,meta_feed,4:5,"plate 4:5, 1080x1350",,A1,Finally. Someone who listens. ★★★★★,,Get Fernly free,1.0,draft
fernly-reviews-15s_A1_meta_feed_1x1,static,meta_feed,1:1,"plate 4:5, 1080x1080",,A1,Finally. Someone who listens. ★★★★★,,Get Fernly free,1.0,draft
fernly-reviews-15s_A1_meta_vertical_9x16,static,meta_vertical,9:16,"plate 9:16, 1080x1920",,A1,Finally. Someone who listens. ★★★★★,,Get Fernly free,1.0,draft
fernly-reviews-15s_A1_tiktok_9x16,static,tiktok,9:16,"plate 9:16, 1080x1920",,A1,Finally. Someone who listens. ★★★★★,,Get Fernly free,1.0,draft
fernly-reviews-15s_A2_meta_feed_4x5,static,meta_feed,4:5,"plate 4:5, 1080x1350",,A2,"My human, before Fernly. ★☆☆☆☆",,Get Fernly free,1.0,draft
fernly-reviews-15s_A2_meta_feed_1x1,static,meta_feed,1:1,"plate 4:5, 1080x1080",,A2,"My human, before Fernly. ★☆☆☆☆",,Get Fernly free,1.0,draft
fernly-reviews-15s_A2_meta_vertical_9x16,static,meta_vertical,9:16,"plate 9:16, 1080x1920",,A2,"My human, before Fernly. ★☆☆☆☆",,Get Fernly free,1.0,draft
fernly-reviews-15s_A2_tiktok_9x16,static,tiktok,9:16,"plate 9:16, 1080x1920",,A2,"My human, before Fernly. ★☆☆☆☆",,Get Fernly free,1.0,draft
